Scattering Cross-Section: Angle, Cross-section
Random rotation
1.37881 35748.9
1.39626 22494.2
1.41372 24265.9
1.43117 34450.8
1.44862 46758.6
1.46608 56543.9
1.48353 61445.1
1.50098 61305.9
1.51844 57546.5
1.53589 52271.1
1.55334 47417.7
1.5708 44184
1.58825 42832.9
1.6057 42847.9
1.62316 43302.8
1.64061 43275.1
1.65806 42152.6
1.67552 39750.7
1.69297 36244.6
1.71042 31983.7
1.72788 27294
1.74533 22363
1.76278 17260.6
1.78024 12094
1.79769 7241.7
1.81514 3580.53
1.8326 2613.81
1.85005 6434.02
1.8675 17493
1.88496 38201.8
1.90241 70426
1.91986 114973
1.93732 171176
1.95477 236670
1.97222 307432
1.98968 378093
2.00713 442508
2.02458 494505
2.04204 528694
2.05949 541212
2.07694 530285
2.0944 496505
2.11185 442796
2.1293 374068
2.14675 296630
2.16421 217473
2.18166 143529
2.19911 81024.3
2.21657 34982.8
2.23402 8930.02
2.25147 4772.19
2.26893 22817.6
2.28638 61886.2
2.30383 119462
2.32129 191865
2.33874 274433
2.35619 361749
2.37365 447919
2.3911 526928
2.40855 593080
2.42601 641470
2.44346 668458
2.46091 672059
2.47837 652184
2.49582 610693
2.51327 551215
2.53073 478770
2.54818 399234
2.56563 318725
2.58309 242995
2.60054 176905
2.61799 124056
2.63545 86606.4
2.6529 65269.5
2.67035 59476.4
2.68781 67649.9
2.70526 87532.1
2.72271 116512
2.74017 151902
2.75762 191146
2.77507 231934
2.79253 272246
2.80998 310338
2.82743 344700
2.84489 374014
2.86234 397129
2.87979 413070
2.89725 421079
2.9147 420677
2.93215 411740
2.94961 394562
2.96706 369893
2.98451 338932
3.00197 303279
3.01942 264839
3.03687 225684
3.05433 187898
3.07178 153415
3.08923 123864
3.10669 100448
3.12414 83862.5
3.14159 74259.4
Random rotation
0 4.56768e+08
0.0174533 4.46844e+08
0.0349066 4.19452e+08
0.0523599 3.77404e+08
0.0698132 3.24867e+08
0.0872665 2.66772e+08
0.10472 2.08137e+08
0.122173 1.53427e+08
0.139626 1.06054e+08
0.15708 6.80796e+07
0.174533 4.01527e+07
0.191986 2.16697e+07
0.20944 1.10974e+07
0.226893 6.38481e+06
0.244346 5.37778e+06
0.261799 6.16511e+06
0.279253 7.30716e+06
0.296706 7.9287e+06
0.314159 7.68733e+06
0.331613 6.65121e+06
