Scattering Amplitude: Angle, Real Part, Imaginary Part
Random rotation
1.69297 103.553 -159.754
1.71042 160.942 -77.9833
1.72788 164.519 15.085
1.74533 121.251 87.5286
1.76278 55.0577 119.287
1.78024 -4.3296 109.887
1.79769 -35.0588 77.5408
1.81514 -33.3913 49.6543
1.8326 -15.6412 48.674
1.85005 -10.4031 79.5349
1.8675 -43.9784 124.735
1.88496 -125.258 150.04
1.90241 -237.097 119.209
1.91986 -338.867 11.9042
1.93732 -380.27 -163.004
1.95477 -321.487 -365.125
1.97222 -151.622 -533.332
1.98968 102.46 -606.296
2.00713 381.22 -545.141
2.02458 610.277 -349.38
2.04204 724.659 -59.6957
2.05949 690.507 253.796
2.07694 516.263 513.573
2.0944 249.452 658.998
2.11185 -39.3562 664.265
2.1293 -279.27 544.129
2.14675 -420.374 346.289
2.16421 -446.673 134.001
2.18166 -377.276 -34.521
2.19911 -256.675 -123.054
2.21657 -138.357 -125.858
2.23402 -67.4757 -66.1593
2.25147 -67.7062 13.7136
2.26893 -135.475 66.815
2.28638 -242.317 56.291
2.30383 -344.005 -33.5074
2.32129 -393.683 -192.037
2.33874 -355.626 -384.66
2.35619 -216.247 -561.236
2.37365 10.4099 -669.186
2.3911 284.328 -667.897
2.40855 548.303 -540.781
2.42601 741.969 -301.583
2.44346 817.561 7.2208
2.46091 753.07 323.951
2.47837 558.927 582.911
2.49582 276.048 731.089
2.51327 -34.3991 741.641
2.53073 -306.625 620.283
2.54818 -486.754 402.87
2.56563 -545.588 145.117
2.58309 -484.228 -92.2987
2.60054 -331.498 -258.87
2.61799 -134.559 -325.499
2.63545 54.115 -289.271
2.6529 189.559 -171.28
2.67035 243.712 -9.00328
2.68781 209.572 154.044
2.70526 100.014 278.441
2.72271 -57.4741 336.464
2.74017 -228.138 315.999
2.75762 -377.386 220.739
2.77507 -476.838 67.5259
2.79253 -508.248 -118.026
2.80998 -465.209 -306.46
2.82743 -352.951 -469.175
2.84489 -186.671 -582.381
2.86234 11.1857 -630.082
2.87979 214.344 -605.91
2.89725 396.499 -513.681
2.9147 535.071 -366.573
2.93215 614.438 -184.947
2.94961 628.103 6.97143
2.96706 579.356 185.039
2.98451 480.242 329.089
3.00197 348.976 426.022
3.01942 206.313 471.459
3.03687 71.6246 469.631
3.05433 -40.4754 431.578
3.07178 -122.253 372.115
3.08923 -173.333 306.3
3.10669 -199.54 246.235
3.12414 -210.486 198.892
3.14159 -216.581 165.385
Random rotation
0 4445.69 20904.6
0.0174533 10591.9 18293.6
0.0349066 15120.3 13814
0.0523599 17537.4 8357.16
0.0698132 17793.9 2871.16
0.0872665 16229.5 -1837.22
0.10472 13442 -5239.09
0.122173 10123.8 -7136.83
0.139626 6908.3 -7637.36
0.15708 4259.42 -7066.6
0.174533 2420.07 -5856.28
0.191986 1417.84 -4433.89
0.20944 1114.38 -3139.35
0.226893 1277.27 -2180.22
0.244346 1653.4 -1626.05
0.261799 2027.54 -1433.25
0.279253 2257.14 -1487.44
0.296706 2282.16 -1649.38
0.314159 2114.24 -1793.69
0.331613 1813.26 -1833.93
0.349066 1459.8 -1732.15
0.366519 1130.42 -1495.34
0.383972 880.57 -1162.8
0.401426 736.495 -789.902
0.418879 695.63 -432.399
0.436332 733.051 -134.62
0.453786 811.1 77.1493
0.471239 889.421 196.072
0.488692 933.294 232.024
0.506145 919.11 206.331
0.523599 836.658 145.605
0.541052 688.615 76.0763
0.558505 488.006 19.3013
0.575959 254.568 -10.3317
0.593412 10.8708 -6.32484
0.610865 -221.139 30.659
0.628319 -422.777 94.497
0.645772 -580.273 175.767
0.663225 -685.479 263.919
0.680678 -735.795 349.118
0.698132 -733.531 423.564
0.715585 -684.947 482.204
0.733038 -599.143 522.869
0.750492 -486.967 545.94
0.767945 -360.001 553.675
0.785398 -229.683 549.366
0.802851 -106.556 536.458
0.820305 0.356376 517.8
0.837758 84.0622 495.082
0.855211 140.004 468.576
0.872665 166.332 437.165
0.890118 164.014 398.68
0.907571 136.756 350.474
0.925025 90.6816 290.146
0.942478 33.768 216.314
0.959931 -24.9633 129.278
0.977384 -76.4401 31.4753
0.994838 -112.63 -72.397
1.01229 -127.596 -175.659
1.02974 -118.368 -270.316
1.0472 -85.4691 -348.07
1.06465 -32.9911 -401.528
1.0821 31.8682 -425.432
1.09956 99.7726 -417.684
1.11701 160.622 -379.965
1.13446 205.138 -317.78
1.15192 226.403 -239.864
1.16937 221.074 -157
1.18682 190.032 -80.3996
1.20428 138.302 -19.9236
1.22173 74.2093 17.5281
1.23918 7.90854 29.1435
1.25664 -50.4676 16.5892
1.27409 -92.6765 -14.4453
1.29154 -113.866 -55.4889
1.309 -113.379 -97.0785
1.32645 -94.6724 -130.729
1.3439 -64.3492 -150.648
1.36136 -30.511 -154.813
1.37881 -0.804883 -145.145
1.39626 19.369 -126.726
1.41372 28.0449 -106.257
1.43117 26.9631 -90.1277
1.44862 20.8386 -82.6042
1.46608 15.8074 -84.6329
1.48353 17.4611 -93.6096
1.50098 29.0264 -104.213
1.51844 50.2352 -110.097
1.53589 77.2669 -105.975
1.55334 103.842 -89.4453
1.5708 123.191 -61.9721
1.58825 130.313 -28.6225
1.6057 123.782 3.45028
1.62316 106.438 27.3596
1.64061 84.6189 38.923
1.65806 66.0654 38.3156
1.67552 57.1402 30.2586
1.69297 60.3219 22.5239
1.71042 72.9536 23.1509
1.72788 87.8487 37.3112
1.74533 95.7053 65.0056
1.76278 88.5527 100.578
1.78024 62.9544 134.405
1.79769 21.6569 156.277
1.81514 -27.1178 159.217
1.8326 -72.6182 142.191
1.85005 -105.663 110.492
1.8675 -122.205 73.4572
1.88496 -124.733 40.3525
1.90241 -120.732 16.1602
1.91986 -118.64 -0.778284
1.93732 -123.011 -17.9473
1.95477 -131.116 -44.6836
1.97222 -132.85 -86.5471
1.98968 -114.542 -140.518
2.00713 -65.4698 -193.476
2.02458 15.4501 -225.282
2.04204 115.864 -215.893
2.05949 211.256 -154.099
2.07694 271.646 -44.4055
2.0944 271.802 91.0661
2.11185 201.416 217.188
2.1293 71.2589 296.021
2.14675 -87.4802 299.419
2.16421 -231.175 219.639
2.18166 -316.849 73.9584
2.19911 -316.159 -98.8399
2.21657 -225.459 -249.423
2.23402 -68.2872 -332.983
2.25147 110.922 -323.51
2.26893 260.096 -222.471
2.28638 335.542 -58.8712
2.30383 315.505 119.458
2.32129 206.837 260.555
2.33874 42.6138 324.248
2.35619 -128.406 294.13
2.37365 -256.953 181.862
2.3911 -308.069 22.6303
2.40855 -270.875 -136.432
2.42601 -160.477 -250.872
2.44346 -11.8394 -291.823
2.46091 131.882 -253.271
2.47837 232.512 -151.884
2.49582 267.341 -20.1236
2.51327 233.99 104.606
2.53073 148.81 191.046
2.54818 40.0582 222.072
2.56563 -61.4583 197.626
2.58309 -131.208 132.429
2.60054 -156.771 49.8655
2.61799 -139.483 -25.6414
2.63545 -92.0742 -75.4549
2.6529 -33.5419 -90.9979
2.67035 16.9695 -74.7222
2.68781 45.5383 -37.9815
2.70526 46.8063 3.25119
2.72271 24.6587 33.4918
2.74017 -9.68741 42.304
2.75762 -41.5245 27.1764
2.77507 -57.3398 -5.96311
2.79253 -49.0739 -44.6863
2.80998 -16.7818 -73.9289
2.82743 31.0899 -80.7207
2.84489 79.9639 -58.436
2.86234 113.364 -9.28243
2.87979 117.93 55.803
2.89725 87.7272 119.941
2.9147 26.4818 165.044
2.93215 -53.0209 177.128
2.94961 -132.304 150.567
2.96706 -192.377 89.9699
2.98451 -219.174 9.01906
3.00197 -207.593 -73.3961
3.01942 -162.89 -138.618
3.03687 -98.996 -173.574
3.05433 -34.2876 -174.43
3.07178 13.911 -147.463
3.08923 34.4201 -106.936
3.10669 25.3972 -70.6488
3.12414 -5.26845 -54.5469
3.14159 -42.4012 -67.9536
Random rotation
0 4234.63 20710.7
0.0174533 10327.2 18236.1
0.0349066 14868.5 13892.2
0.0523599 17352.6 8539.29
0.0698132 17704.5 3106.23
0.0872665 16233.1 -1603.18
0.10472 13509.9 -5046.94
0.122173 10212.3 -7003.43
0.139626 6973.93 -7552.5
0.15708 4272.94 -6998.19
0.174533 2374.93 -5761.46
0.191986 1331.77 -4272.53
0.20944 1024.05 -2885.81
0.226893 1227.99 -1830.5
0.244346 1687.25 -1198.7
0.261799 2172.96 -964.474
0.279253 2522.66 -1022.06
0.296706 2655.23 -1230.42
0.314159 2565.03 -1453.11
0.331613 2302.05 -1586.53
0.349066 1945.76 -1573.71
0.366519 1579.95 -1404.8
